

Status: NoVars [GETVARS] q=savelivedevice | uuid=287BE0FC-A3BC-4FE1-94C0-5A8FB42167FE | la=51.44558420635385 | lo=-0.11134375908395902 | 


Status: NoVars [GETVARS] q=savelivedevice | uuid=287BE0FC-A3BC-4FE1-94C0-5A8FB42167FE | la=51.44567924386496 | lo=-0.11149383395601087 | 


Status: NoVars [GETVARS] q=savelivedevice | uuid=287BE0FC-A3BC-4FE1-94C0-5A8FB42167FE | la=51.44567924386496 | lo=-0.11149383395601087 | 


Status: GotVars CreatedFile [GETVARS] q=savelivedevice | uuid=287BE0FC-A3BC-4FE1-94C0-5A8FB42167FE | la=51.44567924386496 | lo=-0.11149383395601087 | 


Status: GotVars WrittenData [GETVARS] q=savelivedevice | uuid=287BE0FC-A3BC-4FE1-94C0-5A8FB42167FE | la=51.44553084952485 | lo=-0.11136795512468103 | 


Status: GotVars WrittenData [GETVARS] q=savelivedevice | uuid=287BE0FC-A3BC-4FE1-94C0-5A8FB42167FE | la=51.445645545423154 | lo=-0.11115237525318086 | 


Status: GotVars WrittenData [GETVARS] q=savelivedevice | uuid=287BE0FC-A3BC-4FE1-94C0-5A8FB42167FE | la=51.445690594484475 | lo=-0.11143065356240599 | 


Status: GotVars WrittenData [GETVARS] q=savelivedevice | uuid=287BE0FC-A3BC-4FE1-94C0-5A8FB42167FE | la=51.445718319335185 | lo=-0.11151394176759429 | 


Status: GotVars WrittenData [GETVARS] q=savelivedevice | uuid=287BE0FC-A3BC-4FE1-94C0-5A8FB42167FE | la=51.44569978130272 | lo=-0.11135482101682606 | 


Status: GotVars CreatedFile [GETVARS] q=savelivedevice | uuid=1234567890 | la=51.517919875754 | lo=-0.17001953137891 | 


Status: GotVars WrittenData [GETVARS] q=savelivedevice | uuid=287BE0FC-A3BC-4FE1-94C0-5A8FB42167FE | la=51.445703901192736 | lo=-0.111272391663365 | 


Status: GotVars WrittenData [GETVARS] q=savelivedevice | uuid=1234567890 | la=51.446177818136 | lo=-0.10972347272703 | 


Status: GotVars WrittenData [GETVARS] q=savelivedevice | uuid=287BE0FC-A3BC-4FE1-94C0-5A8FB42167FE | la=51.445703901192736 | lo=-0.111272391663365 | 


Status: GotVars WrittenData [GETVARS] q=savelivedevice | uuid=1234567890 | la=51.446177818136 | lo=-0.10972347272703 | 


Status: GotVars WrittenData [GETVARS] q=savelivedevice | uuid=287BE0FC-A3BC-4FE1-94C0-5A8FB42167FE | la=51.44563816679707 | lo=-0.11130865867516067 | 


Status: GotVars WrittenData [GETVARS] q=savelivedevice | uuid=1234567890 | la=51.446177818136 | lo=-0.10972347272703 | 


Status: GotVars WrittenData [GETVARS] q=savelivedevice | uuid=287BE0FC-A3BC-4FE1-94C0-5A8FB42167FE | la=51.44561017018466 | lo=-0.11135026022678693 | 


Status: GotVars WrittenData [GETVARS] q=savelivedevice | uuid=1234567890 | la=51.446177818136 | lo=-0.10972347272703 | 


Status: GotVars WrittenData [GETVARS] q=savelivedevice | uuid=287BE0FC-A3BC-4FE1-94C0-5A8FB42167FE | la=51.44561017018466 | lo=-0.11135026022678693 | 


